Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
12/31/2006,2006,4,20064,31,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2200000,5200000,3200000,170,0.857142857,5600000
9/30/2006,2006,3,20063,30,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1800000,5100000,2800000,170,0.857142857,5600000
6/30/2006,2006,2,20062,29,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1700000,5100000,2800000,170,0.857142857,5600000
3/31/2006,2006,1,20061,28,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2200000,4900000,2100000,170,0.857142857,5600000
9/30/2005,2005,3,20053,26,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2300000,4600000,1700000,170,0.857142857,5600000
6/30/2005,2005,2,20052,25,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2500000,4600000,1300000,170,0.857142857,5600000
3/31/2005,2005,1,20051,24,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2200000,4500000,1300000,170,0.857142857,5600000
12/31/2004,2004,4,20044,23,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2700000,4500000,1000000,170,0.857142857,5600000
9/30/2004,2004,3,20043,22,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2900000,3900000,800000,170,0.857142857,5000000
6/30/2004,2004,2,20042,21,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2100000,3600000,800000,170,0.857142857,5000000
3/31/2004,2004,1,20041,20,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1800000,3500000,800000,170,0.857142857,5000000
12/31/2003,2003,4,20034,19,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1500000,3200000,800000,170,0.857142857,5000000
9/30/2003,2003,3,20033,18,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1700000,3500000,500000,170,0.857142857,5600000
6/30/2003,2003,2,20032,17,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1600000,3500000,500000,170,0.857142857,5600000
3/31/2003,2003,1,20031,16,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1600000,3400000,500000,170,0.857142857,5600000
12/31/2002,2002,4,20024,15,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1600000,3400000,500000,170,0.857142857,5600000
9/30/2002,2002,3,20023,14,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1600000,3300000,500000,170,0.857142857,5600000
6/30/2002,2002,2,20022,13,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1700000,3300000,500000,170,0.857142857,5600000
3/31/2002,2002,1,20021,12,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1800000,3100000,200000,170,0.857142857,5600000
12/31/2001,2001,4,20014,11,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1566578,2856000,219973,170,0.857142857,5600000
9/30/2001,2001,3,20013,10,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1666748,2856000,163223,170,0.857142857,5600000
6/30/2001,2001,2,20012,9,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2098730,2856000,163223,170,0.857142857,5600000
3/31/2001,2001,1,20011,8,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2247157,2856000,163223,170,0.857142857,5600000
9/30/2000,2000,3,20003,6,1,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2339378,2240000,0,170,0.857142857,5600000
6/30/2000,2000,2,20002,5,1,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1813833,1820000,0,170,0.857142857,5600000
3/31/2000,2000,1,20001,4,1,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1050194,1120000,0,170,0.857142857,5600000
12/31/1999,1999,4,19994,3,0,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,513587,560000,0,170,0.857142857,5600000
9/30/1999,1999,3,19993,2,0,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,0,0,0,170,0.857142857,5600000
12/31/2014,2014,4,20144,38,9,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,5864450,9355536,13114605,310,0.842105263,8400000
6/30/2014,2014,2,20142,36,9,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,7857840,9355536,10290844,310,0.842105263,8400000
3/31/2014,2014,1,20141,35,9,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,8407707,9191649,9238504,310,0.842105263,8400000
12/31/2013,2013,4,20134,34,8,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,8273811,9191649,9238504,310,0.842105263,8400000
6/30/2013,2013,2,20132,32,8,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,9131961,9052604.3,6491500,310,0.842105263,8400000
12/31/2012,2012,4,20124,30,7,15930,Summit Partners Venture Capital Fund II,Venture Capital,Summit Partners,6/27/2005,2005,2,US,17602,Los Angeles County Employees' Retirement Association,45637,8137301,9052604,6491500,310,0.842105263,8400000
